tbl_DEXA_Data.Lean,qry_MR_180_Data.Lean,BW
21.6,24.4,28.1
21.7,24.6,26.6
20.7,24.5,25.5
20.1,23.2,24.9
22.9,26.3,30.4
22.8,26.5,29.3
25.6,29.5,32.4
24.2,27.4,33.7
26.7,30.4,34.8
25.6,28.6,35.4
23,26.9,31.4
21.6,24.4,26.9
23.6,27.1,29.2
23.5,26.3,28.5
23.4,25.7,29.6
22,25.3,28.4
23.4,26.9,29.4
25.5,29.1,34.7
25.7,29.1,31.4
21.9,25.6,27.7
23.3,26.8,29.4
24.9,27.9,30.2
25.4,29.6,32.5
22.3,25.1,27.9
24,26.4,30.7
24.8,29.3,33.4
24.8,28.9,32
24.2,27.9,32.8
22.6,25.5,30.1
22.4,27.9,29.5
21,25.6,28.9
23.8,27.9,32
25.7,31.1,32.1
27,32.1,32.9
25.6,30.5,34.9
24.7,30.1,32.5
20.2,23.7,24.7
22.1,26.8,29.1
22.9,26.7,27.5
24.2,26.8,30.6
24.1,27.6,32.7
26.6,31.3,34
24.8,28.9,31.2
25.6,29.4,31.9
27.7,31.8,33.2
26.7,30.1,33.4
26.7,29.7,33.9
24.5,26.7,31.1
24.5,27.3,31.1
24.3,28.8,31.6
24.9,29.6,32.5
27.5,31.9,33.9
21.7,26.3,28.4
24.8,28.2,33.9
23.5,27.1,29.9
27.9,32.4,33.5
23.8,27.9,28.7
22.3,27.8,27
22.1,26,28.5
24.7,29.7,29.8
25.7,29.6,32.1
27,31.2,32.8
27,30.9,33.4
23.2,25.7,28.6
23.6,27.7,29
23.9,28.7,30
26.2,29.3,34.5
24.5,28.2,31.1
23.2,26.4,28.5
20.2,23.2,24.9
21,23.9,25.8
25.4,29.3,29.7
23,25.7,27.9
25.5,30.9,30.8
27.3,31.7,32
23.5,27.2,29.5
21.7,24.6,26.6
22.9,24.7,27.4
24,28.5,29
20.3,23.3,24.1
22.3,24.7,26.7
21.2,24,24.7
23.7,27.8,27.8
20.5,23.2,24.1
21.7,25.7,28.5
24.5,27.3,29.2
24.9,25,31.7
23.6,27.9,31.4
21.3,24.8,27.4
23.3,27.3,30.6
23.9,27.2,29.5
29.4,32.1,41.7
27.8,31.3,39.3
23.7,28.1,28.9
23.2,27.8,30.2
24.4,28.5,31.3
24.2,27.6,30.3
22.6,26.5,28.1
22.8,25.6,26.2
23.6,27.5,28
26.4,30.3,35.5
23.9,28.3,31
26.9,30.3,34.1
25.4,29.4,33.7
24.7,28.9,32.8
24.6,28.2,32.5
24,27.5,30.6
